"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"CHIEF DEVELOPMENT OFFICER","operations","fundraising and membership","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF DIGITAL OFFICER","operations","technology","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF ENGAGEMENT OFFICER","operations","comms-pr","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF HISTORIAN","industry-specific","arts and history","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF HUMAN RESOURCES OFFICER","operations","human resources","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF IMAM","industry-specific","religious","Religious workers","21","21-2000","21-2090","21-2099","X","","","","X","","","","","","",""
"CHIEF INFORMATION OFFICER","operations","technology","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF INNOVATION OFFICER","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF INSIGHTS OFFICER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF INSTITUTIONAL ADVANCEMENT OFFICER","operations","fundraising and membership","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF INVESTMENT OFFICER","operations","finance","","","","","","X","","X","","","","","","","","",""
"CHIEF LEARNING OFFICER","operations","education","","","","","","X","","X","","","","","","","","",""
"CHIEF LEGAL OFFICER","operations","legal","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF MARKETING OFFICER","operations","marketing-sales","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF MARSHAL","industry-specific","xxx","","","","","","X","","","","X","","","","","","",""
"CHIEF MECHANICAL OFFICER","operations","engineering and architecture","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
